"","fecha","Point Forecast","Lo 95","Hi 95","Total"
"1",2005 Q3,NA,NA,NA,57821
"2",2005 Q4,NA,NA,NA,57560
"3",2006 Q1,NA,NA,NA,68097
"4",2006 Q2,NA,NA,NA,72957
"5",2006 Q3,NA,NA,NA,71757
"6",2006 Q4,NA,NA,NA,70806
"7",2007 Q1,NA,NA,NA,81762
"8",2007 Q2,NA,NA,NA,81383
"9",2007 Q3,NA,NA,NA,59296
"10",2007 Q4,NA,NA,NA,75258
"11",2008 Q1,NA,NA,NA,69642
"12",2008 Q2,NA,NA,NA,71791
"13",2008 Q3,NA,NA,NA,56728
"14",2008 Q4,NA,NA,NA,60878
"15",2009 Q1,NA,NA,NA,71035
"16",2009 Q2,NA,NA,NA,82719
"17",2009 Q3,NA,NA,NA,85031
"18",2009 Q4,NA,NA,NA,77151
"19",2010 Q1,NA,NA,NA,83034
"20",2010 Q2,NA,NA,NA,83008
"21",2010 Q3,NA,NA,NA,77063
"22",2010 Q4,NA,NA,NA,83419
"23",2011 Q1,NA,NA,NA,80166
"24",2011 Q2,NA,NA,NA,80073
"25",2011 Q3,NA,NA,NA,77139
"26",2011 Q4,NA,NA,NA,96371
"27",2012 Q1,NA,NA,NA,89751
"28",2012 Q2,NA,NA,NA,94884
"29",2012 Q3,NA,NA,NA,91026
"30",2012 Q4,NA,NA,NA,92594
"31",2013 Q1,NA,NA,NA,99847
"32",2013 Q2,NA,NA,NA,103184
"33",2013 Q3,NA,NA,NA,109171
"34",2013 Q4,NA,NA,NA,108018
"35",2014 Q1,NA,NA,NA,96068
"36",2014 Q2,NA,NA,NA,97743
"37",2014 Q3,NA,NA,NA,94877
"38",2014 Q4,NA,NA,NA,89979
"39",2015 Q1,NA,NA,NA,86105
"40",2015 Q2,NA,NA,NA,97296
"41",2015 Q3,NA,NA,NA,94991
"42",2015 Q4,NA,NA,NA,101602
"43",2016 Q1,NA,NA,NA,118094
"44",2016 Q2,NA,NA,NA,107619
"45",2016 Q3,NA,NA,NA,105165
"46",2016 Q4,NA,NA,NA,94264
"47",2017 Q1,NA,NA,NA,100328
"48",2017 Q2,NA,NA,NA,92772
"49",2017 Q3,NA,NA,NA,98712
"50",2017 Q4,NA,NA,NA,113248
"51",2018 Q1,NA,NA,NA,116312
"52",2018 Q2,NA,NA,NA,118295
"53",2018 Q3,NA,NA,NA,124372
"54",2018 Q4,NA,NA,NA,110715
"55",2019 Q1,NA,NA,NA,141952
"56",2019 Q2,NA,NA,NA,112869
"57",2019 Q3,NA,NA,NA,127627
"58",2019 Q4,NA,NA,NA,133261
"59",2020 Q1,NA,NA,NA,135641
"60",2020 Q2,NA,NA,NA,130500.5
"61",2020 Q3,NA,NA,NA,125360
"62",2020 Q4,NA,NA,NA,148592
"63",2021 Q1,NA,NA,NA,149625
"64",2021 Q2,NA,NA,NA,130260
"65",2021 Q3,NA,NA,NA,153943
"66",2021 Q4,NA,NA,NA,159788
"67",2022 Q1,NA,NA,NA,158873
"68",2022 Q2,NA,NA,NA,156649
"69",2022 Q3,NA,NA,NA,172415
"70",2022 Q4,NA,NA,NA,150797
"71",2023 Q1,150488.679989702,132189.110524259,168788.249455146,NA
"72",2023 Q2,153530.777816131,135231.208350687,171830.347281575,NA
"73",2023 Q3,156324.724616346,138025.155150902,174624.294081789,NA
"74",2023 Q4,155691.22248891,137391.653023466,173990.791954353,NA
"75",2024 Q1,151608.968134262,133309.398668819,169908.537599706,NA
"76",2024 Q2,153529.781022757,135230.211557313,171829.3504882,NA
"77",2024 Q3,154650.285580535,136350.716115092,172949.855045979,NA
"78",2024 Q4,154867.572877539,136568.003412095,173167.142342982,NA
"79",2025 Q1,151713.113678674,133413.54421323,170012.683144117,NA
"80",2025 Q2,154625.459247745,136325.889782301,172925.028713189,NA
"81",2025 Q3,156886.978002374,138587.40853693,175186.547467817,NA
"82",2025 Q4,156686.107202877,138386.537737433,174985.67666832,NA
"83",2026 Q1,153186.423352302,134886.853886859,171485.992817746,NA
"84",2026 Q2,155799.257768201,137499.688302757,174098.827233644,NA
"85",2026 Q3,157765.298573929,139465.729108486,176064.868039373,NA
"86",2026 Q4,157552.099951887,139252.530486443,175851.669417331,NA
"87",2027 Q1,153976.002726439,135676.433260996,172275.572191883,NA
"88",2027 Q2,156461.257351983,138161.687886539,174760.826817426,NA
"89",2027 Q3,158276.428359125,139976.858893681,176575.997824568,NA
"90",2027 Q4,158225.041006204,139925.47154076,176524.610471648,NA
