"","fecha","Point Forecast","Lo 95","Hi 95","Total"
"1",2005 Q3,NA,NA,NA,57821
"2",2005 Q4,NA,NA,NA,57560
"3",2006 Q1,NA,NA,NA,68097
"4",2006 Q2,NA,NA,NA,72957
"5",2006 Q3,NA,NA,NA,71757
"6",2006 Q4,NA,NA,NA,70806
"7",2007 Q1,NA,NA,NA,81762
"8",2007 Q2,NA,NA,NA,81383
"9",2007 Q3,NA,NA,NA,59296
"10",2007 Q4,NA,NA,NA,75258
"11",2008 Q1,NA,NA,NA,69642
"12",2008 Q2,NA,NA,NA,71791
"13",2008 Q3,NA,NA,NA,56728
"14",2008 Q4,NA,NA,NA,60878
"15",2009 Q1,NA,NA,NA,71035
"16",2009 Q2,NA,NA,NA,82719
"17",2009 Q3,NA,NA,NA,85031
"18",2009 Q4,NA,NA,NA,77151
"19",2010 Q1,NA,NA,NA,83034
"20",2010 Q2,NA,NA,NA,83008
"21",2010 Q3,NA,NA,NA,77063
"22",2010 Q4,NA,NA,NA,83419
"23",2011 Q1,NA,NA,NA,80166
"24",2011 Q2,NA,NA,NA,80073
"25",2011 Q3,NA,NA,NA,77139
"26",2011 Q4,NA,NA,NA,96371
"27",2012 Q1,NA,NA,NA,89751
"28",2012 Q2,NA,NA,NA,94884
"29",2012 Q3,NA,NA,NA,91026
"30",2012 Q4,NA,NA,NA,92594
"31",2013 Q1,NA,NA,NA,99847
"32",2013 Q2,NA,NA,NA,103184
"33",2013 Q3,NA,NA,NA,109171
"34",2013 Q4,NA,NA,NA,108018
"35",2014 Q1,NA,NA,NA,96068
"36",2014 Q2,NA,NA,NA,97743
"37",2014 Q3,NA,NA,NA,94877
"38",2014 Q4,NA,NA,NA,89979
"39",2015 Q1,NA,NA,NA,86105
"40",2015 Q2,NA,NA,NA,97296
"41",2015 Q3,NA,NA,NA,94991
"42",2015 Q4,NA,NA,NA,101602
"43",2016 Q1,NA,NA,NA,118094
"44",2016 Q2,NA,NA,NA,107619
"45",2016 Q3,NA,NA,NA,105165
"46",2016 Q4,NA,NA,NA,94264
"47",2017 Q1,NA,NA,NA,100328
"48",2017 Q2,NA,NA,NA,92772
"49",2017 Q3,NA,NA,NA,98712
"50",2017 Q4,NA,NA,NA,113248
"51",2018 Q1,NA,NA,NA,116312
"52",2018 Q2,NA,NA,NA,118295
"53",2018 Q3,NA,NA,NA,124372
"54",2018 Q4,NA,NA,NA,110715
"55",2019 Q1,NA,NA,NA,141952
"56",2019 Q2,NA,NA,NA,112869
"57",2019 Q3,NA,NA,NA,127627
"58",2019 Q4,NA,NA,NA,133261
"59",2020 Q1,NA,NA,NA,135641
"60",2020 Q2,NA,NA,NA,130500.5
"61",2020 Q3,NA,NA,NA,125360
"62",2020 Q4,NA,NA,NA,148592
"63",2021 Q1,NA,NA,NA,149625
"64",2021 Q2,NA,NA,NA,130260
"65",2021 Q3,NA,NA,NA,153943
"66",2021 Q4,NA,NA,NA,159788
"67",2022 Q1,NA,NA,NA,158873
"68",2022 Q2,NA,NA,NA,156649
"69",2022 Q3,NA,NA,NA,172415
"70",2022 Q4,NA,NA,NA,150797
"71",2023 Q1,161082.733003585,142677.546578475,179487.919428696,NA
"72",2023 Q2,162519.643169531,142793.958924491,182245.327414571,NA
"73",2023 Q3,163956.553335477,142993.386815913,184919.719855041,NA
"74",2023 Q4,165393.463501423,143261.900472145,187525.026530701,NA
"75",2024 Q1,166830.373667369,143589.078227767,190071.669106971,NA
"76",2024 Q2,168267.283833315,143966.881669918,192567.685996712,NA
"77",2024 Q3,169704.193999261,144388.955961771,195019.432036751,NA
"78",2024 Q4,171141.104165207,144850.174008844,197432.034321569,NA
"79",2025 Q1,172578.014331153,145346.328006603,199809.700655702,NA
"80",2025 Q2,174014.924497099,145873.91400226,202155.934991937,NA
"81",2025 Q3,175451.834663045,146429.977326503,204473.691999586,NA
"82",2025 Q4,176888.74482899,147011.999108372,206765.490549609,NA
"83",2026 Q1,178325.654994936,147617.811266559,209033.498723314,NA
"84",2026 Q2,179762.565160882,148245.531702157,211279.598619608,NA
"85",2026 Q3,181199.475326828,148893.514117937,213505.436535719,NA
"86",2026 Q4,182636.385492774,149560.308621079,215712.46236447,NA
"87",2027 Q1,184073.29565872,150244.630405502,217901.960911938,NA
"88",2027 Q2,185510.205824666,150945.334576443,220075.077072889,NA
"89",2027 Q3,186947.115990612,151661.395706081,222232.836275143,NA
"90",2027 Q4,188384.026156558,152391.891076931,224376.161236185,NA
