"","fecha","Point Forecast","Lo 95","Hi 95","total_o"
"1",2005 Q3,NA,NA,NA,16535633
"2",2005 Q4,NA,NA,NA,17016945
"3",2006 Q1,NA,NA,NA,17052439
"4",2006 Q2,NA,NA,NA,17259749
"5",2006 Q3,NA,NA,NA,17258124
"6",2006 Q4,NA,NA,NA,17386680
"7",2007 Q1,NA,NA,NA,17302741
"8",2007 Q2,NA,NA,NA,17712808
"9",2007 Q3,NA,NA,NA,17634296
"10",2007 Q4,NA,NA,NA,18180076
"11",2008 Q1,NA,NA,NA,18127978
"12",2008 Q2,NA,NA,NA,18470025
"13",2008 Q3,NA,NA,NA,18336366
"14",2008 Q4,NA,NA,NA,18428492
"15",2009 Q1,NA,NA,NA,18706587
"16",2009 Q2,NA,NA,NA,18918521
"17",2009 Q3,NA,NA,NA,19238450
"18",2009 Q4,NA,NA,NA,19219538
"19",2010 Q1,NA,NA,NA,19109771
"20",2010 Q2,NA,NA,NA,19512839
"21",2010 Q3,NA,NA,NA,19313884
"22",2010 Q4,NA,NA,NA,19212852
"23",2011 Q1,NA,NA,NA,19492507
"24",2011 Q2,NA,NA,NA,19821658
"25",2011 Q3,NA,NA,NA,19857856
"26",2011 Q4,NA,NA,NA,20440609
"27",2012 Q1,NA,NA,NA,20361657
"28",2012 Q2,NA,NA,NA,20933314
"29",2012 Q3,NA,NA,NA,20788333
"30",2012 Q4,NA,NA,NA,20643001
"31",2013 Q1,NA,NA,NA,20673992
"32",2013 Q2,NA,NA,NA,21102602
"33",2013 Q3,NA,NA,NA,20769334
"34",2013 Q4,NA,NA,NA,20984622
"35",2014 Q1,NA,NA,NA,20773138
"36",2014 Q2,NA,NA,NA,20868654
"37",2014 Q3,NA,NA,NA,20588090
"38",2014 Q4,NA,NA,NA,20802714
"39",2015 Q1,NA,NA,NA,21154582
"40",2015 Q2,NA,NA,NA,21298646
"41",2015 Q3,NA,NA,NA,21310466
"42",2015 Q4,NA,NA,NA,21656404
"43",2016 Q1,NA,NA,NA,21566902
"44",2016 Q2,NA,NA,NA,21813382
"45",2016 Q3,NA,NA,NA,21875690
"46",2016 Q4,NA,NA,NA,21856246
"47",2017 Q1,NA,NA,NA,21833522
"48",2017 Q2,NA,NA,NA,21983966
"49",2017 Q3,NA,NA,NA,21881229
"50",2017 Q4,NA,NA,NA,22080676
"51",2018 Q1,NA,NA,NA,22275252
"52",2018 Q2,NA,NA,NA,22651227
"53",2018 Q3,NA,NA,NA,22537154
"54",2018 Q4,NA,NA,NA,22921808
"55",2019 Q1,NA,NA,NA,22977064
"56",2019 Q2,NA,NA,NA,23199576
"57",2019 Q3,NA,NA,NA,23191111
"58",2019 Q4,NA,NA,NA,23639625
"59",2020 Q1,NA,NA,NA,23796380
"60",2020 Q2,NA,NA,NA,NA
"61",2020 Q3,NA,NA,NA,21304763
"62",2020 Q4,NA,NA,NA,22315507
"63",2021 Q1,NA,NA,NA,22638972
"64",2021 Q2,NA,NA,NA,23646202
"65",2021 Q3,NA,NA,NA,23833587
"66",2021 Q4,NA,NA,NA,24285620
"67",2022 Q1,NA,NA,NA,24191409
"68",2022 Q2,NA,NA,NA,24800648
"69",2022 Q3,NA,NA,NA,24459805
"70",2022 Q4,NA,NA,NA,25259600
"71",2023 Q1,25386034.3142029,24654357.6816833,26117710.9467225,NA
"72",2023 Q2,25512468.6284058,24477721.6114251,26547215.6453865,NA
"73",2023 Q3,25638902.9426087,24371601.8403738,26906204.0448436,NA
"74",2023 Q4,25765337.2568116,24301983.9917723,27228690.5218508,NA
"75",2024 Q1,25891771.5710145,24255692.8831525,27527850.2588765,NA
"76",2024 Q2,26018205.8852174,24225971.4788264,27810440.2916083,NA
"77",2024 Q3,26144640.1994203,24208805.7896562,28080474.6091843,NA
"78",2024 Q4,26271074.5136231,24201580.4796617,28340568.5475846,NA
"79",2025 Q1,26397508.827826,24202478.9302672,28592538.7253849,NA
"80",2025 Q2,26523943.1420289,24210178.4725449,28837707.8115129,NA
"81",2025 Q3,26650377.4562318,24223680.5982935,29077074.3141701,NA
"82",2025 Q4,26776811.7704347,24242209.565965,29311413.9749045,NA
"83",2026 Q1,26903246.0846376,24265148.4690293,29541343.7002459,NA
"84",2026 Q2,27029680.3988405,24291997.1220436,29767363.6756374,NA
"85",2026 Q3,27156114.7130434,24322343.3004858,29989886.125601,NA
"86",2026 Q4,27282549.0272463,24355842.4971678,30209255.5573247,NA
"87",2027 Q1,27408983.3414492,24392203.3017746,30425763.3811238,NA
"88",2027 Q2,27535417.6556521,24431176.6047099,30639658.7065942,NA
"89",2027 Q3,27661851.969855,24472547.4693518,30851156.4703581,NA
"90",2027 Q4,27788286.2840579,24516128.9083339,31060443.6597818,NA
